Candidate_ID,Job_ID,Job_Title,Department,Job_Posted_Date,Application_Date,Screening_Date,Interview_Date,Offer_Date,Offer_Accepted_Date,Joining_Date,Year,Advertising_Cost,Agency_Fees,Interview_Costs,Relocation_Costs,Onboarding_Cost,Total_Cost_Per_Candidate,Days_JobPost_to_Application,Days_Application_to_Screening,Days_Screening_to_Interview,Days_Interview_to_Offer,Days_Offer_to_Acceptance,Days_Acceptance_to_Joining,Requistion days,Total_Days_Per_Candidate
NT0241,NTOA034,Operations Analyst,Data & Analytics,21-04-2019,30-04-2019,14-05-2019,24-05-2019,05-06-2019,12-06-2019,01-08-2019,2019,476,426,590,3756,58627,63875,9,14,10,12,7,50,52,102
NT0248,NTFS036,Full Stack Developer,Software & Development,21-04-2019,30-04-2019,15-05-2019,24-05-2019,04-06-2019,12-06-2019,13-07-2019,2019,360,512,675,788,72972,75307,9,15,9,11,8,31,52,83
NT0260,NTCCE045,Customer Care Executive,Customer Service,21-04-2019,27-04-2019,04-05-2019,10-05-2019,17-05-2019,23-05-2019,15-07-2019,2019,221,541,695,2918,56316,60691,6,7,6,7,6,53,32,85
NT0278,NTTE025,Telemarketing Executive,Marketing,28-04-2019,04-05-2019,15-05-2019,30-05-2019,10-06-2019,18-06-2019,12-08-2019,2019,452,524,540,3095,51852,56463,6,11,15,11,8,55,51,106
NT0290,NTBIA078,Business Intelligence Analyst,Data & Analytics,28-04-2019,30-04-2019,11-05-2019,24-05-2019,06-06-2019,13-06-2019,30-07-2019,2019,435,440,522,1086,59910,62393,2,11,13,13,7,47,46,93
NT0307,NTAT077,Automation Tester (Python),Data Science & AI,28-04-2019,08-05-2019,23-05-2019,05-06-2019,15-06-2019,23-06-2019,16-08-2019,2019,248,440,685,2211,54175,57759,10,15,13,10,8,54,56,110
NT0310,NTTS078,Telecalling Supervisor,Customer Service,28-04-2019,08-05-2019,15-05-2019,20-05-2019,27-05-2019,01-06-2019,02-08-2019,2019,258,515,601,548,55348,57270,10,7,5,7,5,62,34,96
NT0311,NTTE025,Telemarketing Executive,Marketing,05-05-2019,08-05-2019,22-05-2019,29-05-2019,11-06-2019,19-06-2019,11-08-2019,2019,369,491,694,1548,59442,62544,3,14,7,13,8,53,45,98
NT0317,NTDS022,Data Scientist,Data Science & AI,05-05-2019,12-05-2019,24-05-2019,02-06-2019,15-06-2019,25-06-2019,02-08-2019,2019,387,469,593,3410,56190,61049,7,12,9,13,10,38,51,89
NT0340,NTAT077,Automation Tester (Python),Data Science & AI,05-05-2019,12-05-2019,23-05-2019,31-05-2019,10-06-2019,18-06-2019,16-08-2019,2019,470,415,679,3738,51256,56558,7,11,8,10,8,59,44,103
NT0355,NTOA034,Operations Analyst,Data & Analytics,05-05-2019,07-05-2019,18-05-2019,26-05-2019,07-06-2019,17-06-2019,06-08-2019,2019,389,465,600,1235,58376,61065,2,11,8,12,10,50,43,93
NT0366,NTLDS010,Lead Data Scientist,Data Science & AI,05-05-2019,11-05-2019,25-05-2019,08-06-2019,19-06-2019,27-06-2019,18-08-2019,2019,374,429,521,2691,55645,59660,6,14,14,11,8,52,53,105
NT0395,NTDA055,Data Analyst,Data & Analytics,05-05-2019,13-05-2019,26-05-2019,04-06-2019,17-06-2019,26-06-2019,05-08-2019,2019,250,403,665,4086,68454,73858,8,13,9,13,9,40,52,92
NT0414,NTLDS010,Lead Data Scientist,Data Science & AI,05-05-2019,07-05-2019,21-05-2019,28-05-2019,07-06-2019,15-06-2019,26-07-2019,2019,254,585,524,3329,53486,58178,2,14,7,10,8,41,41,82
NT0423,NTDS022,Data Scientist,Data Science & AI,05-05-2019,14-05-2019,24-05-2019,02-06-2019,12-06-2019,21-06-2019,30-07-2019,2019,443,551,640,3655,53584,58873,9,10,9,10,9,39,47,86
NT0424,NTCCE045,Customer Care Executive,Customer Service,23-06-2019,02-07-2019,11-07-2019,18-07-2019,27-07-2019,03-08-2019,11-10-2019,2019,330,548,627,3035,59588,64128,9,9,7,9,7,69,41,110
NT0427,NTAT077,Automation Tester (Python),Data Science & AI,23-06-2019,03-07-2019,17-07-2019,28-07-2019,11-08-2019,21-08-2019,27-09-2019,2019,334,483,570,1132,58053,60572,10,14,11,14,10,37,59,96
NT0428,NTHR076,HR,Human Resources,23-06-2019,27-06-2019,07-07-2019,16-07-2019,30-07-2019,06-08-2019,26-09-2019,2019,220,521,681,4489,53330,59241,4,10,9,14,7,51,44,95
NT0429,NTSMC045,Social Media Coordinator,Marketing,23-06-2019,29-06-2019,11-07-2019,20-07-2019,04-08-2019,14-08-2019,20-09-2019,2019,366,576,614,4473,52703,58732,6,12,9,15,10,37,52,89
NT0433,NTCSM086,Customer Support Manager,Customer Service,23-06-2019,02-07-2019,14-07-2019,22-07-2019,06-08-2019,15-08-2019,07-10-2019,2019,473,585,653,1138,78662,81511,9,12,8,15,9,53,53,106
NT0434,NTDA055,Data Analyst,Data & Analytics,23-06-2019,29-06-2019,09-07-2019,24-07-2019,05-08-2019,15-08-2019,05-10-2019,2019,288,595,513,3922,63120,68438,6,10,15,12,10,51,53,104
NT0440,NTBIA078,Business Intelligence Analyst,Data & Analytics,23-06-2019,30-06-2019,14-07-2019,26-07-2019,09-08-2019,17-08-2019,02-10-2019,2019,213,548,617,718,62114,64210,7,14,12,14,8,46,55,101
NT0452,NTDS022,Data Scientist,Data Science & AI,23-06-2019,27-06-2019,08-07-2019,16-07-2019,26-07-2019,02-08-2019,21-09-2019,2019,441,462,615,2543,51353,55414,4,11,8,10,7,50,40,90
NT0462,NTHRM045,HR Manager,Human Resources,15-09-2019,21-09-2019,05-10-2019,16-10-2019,28-10-2019,05-11-2019,18-12-2019,2019,464,518,635,1983,75063,78663,6,14,11,12,8,43,51,94
NT0480,NTOA034,Operations Analyst,Data & Analytics,15-09-2019,24-09-2019,09-10-2019,24-10-2019,04-11-2019,11-11-2019,16-12-2019,2019,252,446,666,2565,63549,67478,9,15,15,11,7,35,57,92
NT0482,NTFS036,Full Stack Developer,Software & Development,15-09-2019,19-09-2019,30-09-2019,13-10-2019,27-10-2019,04-11-2019,25-12-2019,2019,291,452,637,4281,71211,76872,4,11,13,14,8,51,50,101
NT0487,NTDS022,Data Scientist,Data Science & AI,29-09-2019,07-10-2019,20-10-2019,30-10-2019,14-11-2019,23-11-2019,04-01-2020,2019,463,555,666,1205,57575,60464,8,13,10,15,9,42,55,97
NT0491,NTSE001,SEO Executive,Marketing,29-09-2019,09-10-2019,21-10-2019,29-10-2019,13-11-2019,21-11-2019,26-12-2019,2019,234,450,553,3898,50667,55802,10,12,8,15,8,35,53,88
NT0494,NTDS022,Data Scientist,Data Science & AI,29-09-2019,02-10-2019,12-10-2019,19-10-2019,02-11-2019,11-11-2019,15-12-2019,2019,405,469,536,4519,54468,60397,3,10,7,14,9,34,43,77
NT0498,NTSA001,Sales Associate,Sales,29-09-2019,01-10-2019,14-10-2019,24-10-2019,06-11-2019,16-11-2019,18-12-2019,2019,280,427,538,4930,59337,65512,2,13,10,13,10,32,48,80
NT0523,NTTS078,Telecalling Supervisor,Customer Service,29-09-2019,05-10-2019,13-10-2019,19-10-2019,27-10-2019,02-11-2019,21-12-2019,2019,249,410,601,3020,56819,61099,6,8,6,8,6,49,34,83
NT0544,NTBA054,Business Reporting Associate,Data & Analytics,29-09-2019,04-10-2019,17-10-2019,27-10-2019,06-11-2019,15-11-2019,27-12-2019,2019,201,572,533,3806,53719,58831,5,13,10,10,9,42,47,89
NT0555,NTAT077,Automation Tester (Python),Data Science & AI,29-09-2019,06-10-2019,19-10-2019,29-10-2019,13-11-2019,20-11-2019,24-12-2019,2019,253,575,546,2552,52745,56671,7,13,10,15,7,34,52,86
NT0561,NTTE025,Telemarketing Executive,Marketing,29-09-2019,30-09-2019,15-10-2019,23-10-2019,03-11-2019,12-11-2019,31-12-2019,2019,305,412,595,3487,57483,62282,1,15,8,11,9,49,44,93
NT0602,NTBIA078,Business Intelligence Analyst,Data & Analytics,29-09-2019,03-10-2019,18-10-2019,29-10-2019,09-11-2019,16-11-2019,04-01-2020,2020,459,527,607,1967,55539,59099,4,15,11,11,7,49,48,97
NT0608,NTSE001,SEO Executive,Marketing,20-10-2019,22-10-2019,05-11-2019,18-11-2019,28-11-2019,08-12-2019,17-01-2020,2020,390,572,546,1828,54964,58300,2,14,13,10,10,40,49,89
NT0611,NTFS036,Full Stack Developer,Software & Development,20-10-2019,30-10-2019,13-11-2019,22-11-2019,04-12-2019,11-12-2019,07-02-2020,2020,417,531,585,4253,72328,78114,10,14,9,12,7,58,52,110
NT0622,NTCCE045,Customer Care Executive,Customer Service,20-10-2019,24-10-2019,03-11-2019,11-11-2019,21-11-2019,29-11-2019,06-01-2020,2020,243,437,501,1381,54835,57397,4,10,8,10,8,38,40,78
NT0637,NTDS022,Data Scientist,Data Science & AI,20-10-2019,23-10-2019,07-11-2019,20-11-2019,05-12-2019,12-12-2019,09-02-2020,2020,361,502,624,1028,53775,56290,3,15,13,15,7,59,53,112
NT0655,NTSE001,SEO Executive,Marketing,12-04-2020,19-04-2020,30-04-2020,08-05-2020,19-05-2020,28-05-2020,15-07-2020,2020,401,484,610,2517,56042,60054,7,11,8,11,9,48,46,94
NT0680,NTBDM004,Business Development Manager,Sales,12-04-2020,18-04-2020,02-05-2020,09-05-2020,24-05-2020,01-06-2020,07-07-2020,2020,469,503,661,3926,77102,82661,6,14,7,15,8,36,50,86
NT0707,NTTS078,Telecalling Supervisor,Customer Service,12-04-2020,13-04-2020,20-04-2020,25-04-2020,02-05-2020,07-05-2020,28-06-2020,2020,470,516,573,3980,57312,62851,1,7,5,7,5,52,25,77
NT0713,NTAI099,AI/ML Engineer,Data Science & AI,12-04-2020,13-04-2020,24-04-2020,02-05-2020,13-05-2020,21-05-2020,28-06-2020,2020,414,424,696,2126,65320,68980,1,11,8,11,8,38,39,77
NT0716,NTBA054,Business Reporting Associate,Data & Analytics,12-04-2020,20-04-2020,03-05-2020,13-05-2020,27-05-2020,05-06-2020,06-07-2020,2020,451,561,537,2135,56132,59816,8,13,10,14,9,31,54,85
NT0737,NTSE001,SEO Executive,Marketing,12-04-2020,20-04-2020,05-05-2020,18-05-2020,28-05-2020,07-06-2020,30-07-2020,2020,389,433,672,4128,57891,63513,8,15,13,10,10,53,56,109
NT0742,NTTE025,Telemarketing Executive,Marketing,12-04-2020,19-04-2020,30-04-2020,07-05-2020,20-05-2020,30-05-2020,06-07-2020,2020,495,599,680,3486,52779,58039,7,11,7,13,10,37,48,85
NT0746,NTTE025,Telemarketing Executive,Marketing,12-04-2020,20-04-2020,30-04-2020,12-05-2020,25-05-2020,02-06-2020,25-07-2020,2020,412,532,681,955,50924,53504,8,10,12,13,8,53,51,104
NT0755,NTTS078,Telecalling Supervisor,Customer Service,12-04-2020,19-04-2020,28-04-2020,05-05-2020,14-05-2020,21-05-2020,23-07-2020,2020,407,410,680,586,51581,53664,7,9,7,9,7,63,39,102
NT0793,NTRA004,Reporting Analyst,Data & Analytics,12-04-2020,18-04-2020,03-05-2020,11-05-2020,25-05-2020,03-06-2020,22-07-2020,2020,436,499,688,3160,62714,67497,6,15,8,14,9,49,52,101
NT0799,NTBA054,Business Reporting Associate,Data & Analytics,12-04-2020,17-04-2020,02-05-2020,09-05-2020,21-05-2020,29-05-2020,21-07-2020,2020,252,491,649,3982,53324,58698,5,15,7,12,8,53,47,100
NT0812,NTOA034,Operations Analyst,Data & Analytics,12-04-2020,16-04-2020,28-04-2020,08-05-2020,19-05-2020,26-05-2020,14-07-2020,2020,479,559,509,2338,67677,71562,4,12,10,11,7,49,44,93
NT0818,NTSM005,Sales Manager,Sales,19-07-2020,20-07-2020,03-08-2020,13-08-2020,25-08-2020,03-09-2020,24-10-2020,2020,416,466,670,3682,75713,80947,1,14,10,12,9,51,46,97
NT0819,NTFS036,Full Stack Developer,Software & Development,19-07-2020,25-07-2020,05-08-2020,17-08-2020,28-08-2020,06-09-2020,08-10-2020,2020,451,585,556,3041,67026,71659,6,11,12,11,9,32,49,81
NT0853,NTRA004,Reporting Analyst,Data & Analytics,19-07-2020,27-07-2020,08-08-2020,22-08-2020,06-09-2020,13-09-2020,05-11-2020,2020,387,456,511,3339,55255,59948,8,12,14,15,7,53,56,109
NT0862,NTBDM004,Business Development Manager,Sales,19-07-2020,22-07-2020,01-08-2020,09-08-2020,19-08-2020,29-08-2020,27-10-2020,2020,240,411,690,4295,74804,80440,3,10,8,10,10,59,41,100
NT0865,NTCSM086,Customer Support Manager,Customer Service,19-07-2020,25-07-2020,04-08-2020,11-08-2020,26-08-2020,03-09-2020,15-10-2020,2020,356,598,630,1661,71838,75083,6,10,7,15,8,42,46,88
NT0875,NTSA001,Sales Associate,Sales,28-02-2021,10-03-2021,22-03-2021,03-04-2021,17-04-2021,27-04-2021,09-06-2021,2021,214,548,641,1478,50009,52890,10,12,12,14,10,43,58,101
NT0889,NTDA055,Data Analyst,Data & Analytics,28-02-2021,05-03-2021,16-03-2021,23-03-2021,03-04-2021,12-04-2021,05-06-2021,2021,500,417,670,2080,57871,61538,5,11,7,11,9,54,43,97
NT0905,NTSD087,Software Developer,Software & Development,28-02-2021,07-03-2021,20-03-2021,27-03-2021,08-04-2021,17-04-2021,25-05-2021,2021,264,600,578,4256,68989,74687,7,13,7,12,9,38,48,86
NT0925,NTFS036,Full Stack Developer,Software & Development,28-02-2021,10-03-2021,22-03-2021,04-04-2021,17-04-2021,27-04-2021,21-06-2021,2021,208,508,605,876,67409,69606,10,12,13,13,10,55,58,113
NT0927,NTTE025,Telemarketing Executive,Marketing,28-02-2021,03-03-2021,15-03-2021,27-03-2021,10-04-2021,18-04-2021,25-05-2021,2021,328,453,585,1059,57418,59843,3,12,12,14,8,37,49,86
NT0931,NTBPO066,BPO Executive,BPO,02-05-2021,12-05-2021,25-05-2021,03-06-2021,18-06-2021,26-06-2021,30-07-2021,2021,335,577,597,3179,55124,59812,10,13,9,15,8,34,55,89
NT0986,NTTM006,Telemarketing Manager,Marketing,02-05-2021,08-05-2021,22-05-2021,02-06-2021,15-06-2021,22-06-2021,26-07-2021,2021,262,487,597,1828,71015,74189,6,14,11,13,7,34,51,85
NT0999,NTDE099,DevOps Engineer,Software & Development,02-05-2021,03-05-2021,13-05-2021,26-05-2021,06-06-2021,15-06-2021,14-08-2021,2021,338,504,667,4850,70016,76375,1,10,13,11,9,60,44,104
NT1035,NTTS078,Telecalling Supervisor,Customer Service,02-05-2021,07-05-2021,13-05-2021,18-05-2021,24-05-2021,29-05-2021,25-07-2021,2021,280,477,535,2996,52193,56481,5,6,5,6,5,57,27,84
NT1042,NTDS022,Data Scientist,Data Science & AI,02-05-2021,05-05-2021,18-05-2021,25-05-2021,07-06-2021,16-06-2021,05-08-2021,2021,362,406,607,1992,58415,61782,3,13,7,13,9,50,45,95
NT1064,NTBDM004,Business Development Manager,Sales,02-05-2021,04-05-2021,17-05-2021,31-05-2021,14-06-2021,23-06-2021,22-08-2021,2021,488,480,563,4536,77449,83516,2,13,14,14,9,60,52,112
NT1067,NTCCE045,Customer Care Executive,Customer Service,02-05-2021,07-05-2021,17-05-2021,25-05-2021,04-06-2021,12-06-2021,28-07-2021,2021,460,487,600,4882,54158,60587,5,10,8,10,8,46,41,87
NT1081,NTRA004,Reporting Analyst,Data & Analytics,21-05-2021,25-05-2021,04-06-2021,19-06-2021,29-06-2021,08-07-2021,24-08-2021,2021,430,529,500,4065,68528,74052,4,10,15,10,9,47,48,95
NT1085,NTBA054,Business Reporting Associate,Data & Analytics,19-09-2021,22-09-2021,05-10-2021,19-10-2021,02-11-2021,10-11-2021,30-12-2021,2021,240,445,652,4753,53925,60015,3,13,14,14,8,50,52,102
NT1086,NTDS022,Data Scientist,Data Science & AI,19-09-2021,25-09-2021,06-10-2021,20-10-2021,03-11-2021,12-11-2021,29-12-2021,2021,227,581,648,2627,56970,61053,6,11,14,14,9,47,54,101
NT1089,NTTS078,Telecalling Supervisor,Customer Service,19-09-2021,25-09-2021,02-10-2021,08-10-2021,15-10-2021,21-10-2021,08-12-2021,2021,334,594,614,4563,56938,63043,6,7,6,7,6,48,32,80
NT1097,NTCSM086,Customer Support Manager,Customer Service,19-09-2021,22-09-2021,03-10-2021,15-10-2021,25-10-2021,04-11-2021,03-01-2022,2021,400,559,529,3269,74784,79541,3,11,12,10,10,60,46,106
NT1102,NTSMC045,Social Media Coordinator,Marketing,19-09-2021,23-09-2021,06-10-2021,14-10-2021,27-10-2021,03-11-2021,05-12-2021,2021,467,429,518,1581,54000,56995,4,13,8,13,7,32,45,77
NT1106,NTSA001,Sales Associate,Sales,19-09-2021,29-09-2021,12-10-2021,19-10-2021,29-10-2021,06-11-2021,29-12-2021,2021,232,431,644,545,51633,53485,10,13,7,10,8,53,48,101
NT1117,NTSA001,Sales Associate,Sales,19-09-2021,26-09-2021,08-10-2021,20-10-2021,31-10-2021,07-11-2021,17-12-2021,2021,247,437,548,4378,57266,62876,7,12,12,11,7,40,49,89
NT1129,NTBIA078,Business Intelligence Analyst,Data & Analytics,14-11-2021,20-11-2021,05-12-2021,14-12-2021,27-12-2021,04-01-2022,27-02-2022,2022,261,553,525,4713,63702,69754,6,15,9,13,8,54,51,105
NT1135,NTOA034,Operations Analyst,Data & Analytics,14-11-2021,19-11-2021,03-12-2021,16-12-2021,27-12-2021,05-01-2022,13-02-2022,2022,415,501,524,1663,55384,58487,5,14,13,11,9,39,52,91
NT1141,NTDA055,Data Analyst,Data & Analytics,14-11-2021,16-11-2021,30-11-2021,13-12-2021,26-12-2021,02-01-2022,24-02-2022,2022,492,401,621,3820,55404,60738,2,14,13,13,7,53,49,102
NT1162,NTFS036,Full Stack Developer,Software & Development,14-11-2021,16-11-2021,29-11-2021,14-12-2021,25-12-2021,02-01-2022,27-02-2022,2022,298,570,573,657,68175,70273,2,13,15,11,8,56,49,105
NT1170,NTHR076,HR,Human Resources,02-01-2022,08-01-2022,22-01-2022,29-01-2022,08-02-2022,17-02-2022,25-03-2022,2022,371,531,579,2654,52000,56135,6,14,7,10,9,36,46,82
NT1191,NTCSM086,Customer Support Manager,Customer Service,02-01-2022,04-01-2022,16-01-2022,29-01-2022,12-02-2022,20-02-2022,14-04-2022,2022,413,514,506,2166,79860,83459,2,12,13,14,8,53,49,102
NT1200,NTSM005,Sales Manager,Sales,02-01-2022,07-01-2022,20-01-2022,04-02-2022,15-02-2022,22-02-2022,06-04-2022,2022,234,431,649,2009,75989,79312,5,13,15,11,7,43,51,94
NT1235,NTSMC045,Social Media Coordinator,Marketing,02-01-2022,04-01-2022,14-01-2022,27-01-2022,06-02-2022,14-02-2022,28-03-2022,2022,426,523,585,2566,51460,55560,2,10,13,10,8,42,43,85
NT1248,NTSM005,Sales Manager,Sales,02-01-2022,07-01-2022,20-01-2022,27-01-2022,10-02-2022,18-02-2022,30-03-2022,2022,300,527,616,3730,77190,82363,5,13,7,14,8,40,47,87
NT1250,NTDE099,DevOps Engineer,Software & Development,02-01-2022,11-01-2022,26-01-2022,05-02-2022,19-02-2022,26-02-2022,22-04-2022,2022,330,560,608,2301,67140,70939,9,15,10,14,7,55,55,110
NT1269,NTSMC045,Social Media Coordinator,Marketing,24-04-2022,03-05-2022,17-05-2022,01-06-2022,16-06-2022,23-06-2022,26-07-2022,2022,456,467,582,2021,53636,57162,9,14,15,15,7,33,60,93
NT1273,NTCCE045,Customer Care Executive,Customer Service,24-04-2022,01-05-2022,08-05-2022,14-05-2022,21-05-2022,27-05-2022,13-08-2022,2022,204,449,624,2368,54809,58454,7,7,6,7,6,78,33,111
NT1282,NTHR076,AI/ML Engineer,Data Science & AI,02-04-2023,11-04-2023,21-04-2023,29-04-2023,09-05-2023,17-05-2023,28-06-2023,2023,417,416,640,1157,64178,66808,9,10,8,10,8,42,45,87
NT1285,NTAI099,AI/ML Engineer,Data Science & AI,02-04-2023,06-04-2023,16-04-2023,24-04-2023,04-05-2023,12-05-2023,21-07-2023,2023,454,456,654,4718,73456,79738,4,10,8,10,8,70,40,110
NT1297,NTHR076,HR,Human Resources,03-09-2023,13-09-2023,25-09-2023,03-10-2023,16-10-2023,26-10-2023,08-12-2023,2023,482,599,612,4706,57245,63644,10,12,8,13,10,43,53,96
NT1325,NTTS078,Telecalling Supervisor,Customer Service,12-05-2024,18-05-2024,25-05-2024,31-05-2024,07-06-2024,13-06-2024,19-08-2024,2024,406,459,530,735,56600,58730,6,7,6,7,6,67,32,99
NT1330,NTSM005,Sales Manager,Sales,12-05-2024,22-05-2024,06-06-2024,14-06-2024,29-06-2024,08-07-2024,10-08-2024,2024,214,457,501,3931,75997,81100,10,15,8,15,9,33,57,90
NT1337,NTFS036,Full Stack Developer,Software & Development,12-05-2024,20-05-2024,03-06-2024,15-06-2024,30-06-2024,08-07-2024,20-08-2024,2024,241,588,610,2905,62048,66392,8,14,12,15,8,43,57,100
NT1369,NTSE001,SEO Executive,Marketing,26-05-2024,04-06-2024,16-06-2024,01-07-2024,13-07-2024,23-07-2024,03-09-2024,2024,378,568,629,1932,54780,58287,9,12,15,12,10,42,58,100
NT1383,NTFS036,Full Stack Developer,Software & Development,09-02-2025,10-02-2025,22-02-2025,06-03-2025,16-03-2025,24-03-2025,11-05-2025,2025,262,572,562,4694,60716,66806,1,12,12,10,8,48,43,91
NT1392,NTTE025,Telemarketing Executive,Marketing,09-02-2025,19-02-2025,05-03-2025,13-03-2025,26-03-2025,02-04-2025,28-05-2025,2025,430,420,651,1553,57939,60993,10,14,8,13,7,56,52,108
NT1403,NTOA034,Operations Analyst,Data & Analytics,09-02-2025,15-02-2025,28-02-2025,15-03-2025,29-03-2025,07-04-2025,13-05-2025,2025,440,518,553,2622,60565,64698,6,13,15,14,9,36,57,93
NT1420,NTBPO066,BPO Executive,BPO,09-02-2025,19-02-2025,02-03-2025,11-03-2025,23-03-2025,02-04-2025,16-05-2025,2025,251,546,531,1587,54544,57459,10,11,9,12,10,44,52,96
NT1433,NTTE025,Telemarketing Executive,Marketing,09-02-2025,16-02-2025,01-03-2025,12-03-2025,27-03-2025,03-04-2025,20-05-2025,2025,295,539,594,4072,54976,60476,7,13,11,15,7,47,53,100
NT1453,NTHR076,HR,Human Resources,09-02-2025,11-02-2025,21-02-2025,03-03-2025,18-03-2025,27-03-2025,21-05-2025,2025,421,566,640,1411,53419,56457,2,10,10,15,9,55,46,101
NT1471,NTDA055,Data Analyst,Data & Analytics,09-02-2025,19-02-2025,06-03-2025,13-03-2025,26-03-2025,04-04-2025,30-05-2025,2025,430,579,533,4730,69430,75702,10,15,7,13,9,56,54,110
NT1492,NTLDS010,Lead Data Scientist,Data Science & AI,09-02-2025,15-02-2025,25-02-2025,08-03-2025,21-03-2025,31-03-2025,22-05-2025,2025,436,536,642,4936,57239,63789,6,10,11,13,10,52,50,102
